Name;Position;Team;Geburtsdatum;Bild
Renato Steffen;Stürmer;FC Lugano;1991-11-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204814_114814174.png
Beckham Castro;Stürmer;FC Lugano;2003-09-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204747_114814107.png
Elias Pihlström;Stürmer;FC Lugano;2006-08-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204764_114814124.png
Dereck Moncada;Stürmer;FC Lugano;2007-11-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204759_114814119.png
Bryan Zurmühle;Stürmer;FC Lugano;2009-02-11;
Ian Tiraboschi;Stürmer;FC Lugano;2010-06-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204788_114814148.png
Kevin Behrens;Stürmer;FC Lugano;1991-02-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204797_114814157.png
Simon Simoni;Torwart;FC Luzern;2004-07-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5629378/media_117193826_116803851.png
Tim Hottiger;Torwart;FC Luzern;2005-03-24;
Karlo Letica;Torwart;FC Luzern;1997-02-11;
Jérôme Bieler;Torwart;FC Luzern;2007-07-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912789_115522447.png
Raphael Radtke;Torwart;FC Luzern;2002-03-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912896_115522554.png
Stefan Knezevic;Verteidiger;FC Luzern;1996-10-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912938_115522596.png
Bung Hua Freimann;Verteidiger;FC Luzern;2004-07-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912745_115522403.png
Andrejs Ciganiks;Verteidiger;FC Luzern;1997-04-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912743_115522401.png
Pius Dorn;Verteidiger;FC Luzern;1996-09-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912889_115522547.png
Loïc Lüthi;Verteidiger;FC Luzern;2003-09-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912845_115522503.png
Ruben Fernandes;Verteidiger;FC Luzern;2003-05-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912911_115522569.png
Bung Meng Freimann;Verteidiger;FC Luzern;2005-12-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912761_115522419.png
Erblin Sadikaj;Verteidiger;FC Luzern;2008-03-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912788_115522446.png
Leonardo Bertone;Mittelfeldspieler;FC Luzern;1994-03-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912829_115522487.png
Lucas Manuel Silva Ferreira;Mittelfeldspieler;FC Luzern;2006-11-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912846_115522504.png
Matteo Di Giusto;Mittelfeldspieler;FC Luzern;2000-08-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912860_115522518.png
Tyron Owusu;Mittelfeldspieler;FC Luzern;2003-06-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912939_115522597.png
Levin Winkler;Mittelfeldspieler;FC Luzern;2003-08-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912837_115522495.png
Demir Xhemalija;Mittelfeldspieler;FC Luzern;2006-06-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912769_115522427.png
Mio Zimmermann;Mittelfeldspieler;FC Luzern;2007-08-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912867_115522525.png
Aurelio Oehlers;Stürmer;FC Luzern;2004-02-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912744_115522402.png
Adrian Grbic;Stürmer;FC Luzern;1996-08-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912737_115522395.png
Nando Toggenburger;Stürmer;FC Luzern;2004-03-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912868_115522526.png
Oscar Kabwit;Stürmer;FC Luzern;2005-05-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912869_115522527.png
Sandro Wyss;Stürmer;FC Luzern;2008-05-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912927_115522585.png
Faveurdi Bongeli;Stürmer;FC Luzern;2007-03-21;
Daniel Mikolajewski;Stürmer;FC Luzern;2006-01-24;
Lars Villiger;Stürmer;FC Luzern;2003-04-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912809_115522467.png
Sascha Meyer;Stürmer;FC Luzern;2006-04-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5431959/media_115912928_115522586.png
Anthony Racioppi;Torwart;FC Sion;1998-12-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114368979_113978036.png
Francesco Ruberto;Torwart;FC Sion;1993-03-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369051_113978108.png
Simon Caillet;Torwart;FC Sion;2006-07-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369254_113978311.png
Noé Sow;Verteidiger;FC Sion;1998-12-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369196_113978253.png
Marcos Robson Cipriano;Verteidiger;FC Sion;1999-02-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369176_113978233.png
Numa Lavanchy;Verteidiger;FC Sion;1993-08-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369215_113978272.png
Jan Kronig;Verteidiger;FC Sion;2000-06-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369105_113978162.png
Nias Hefti;Verteidiger;FC Sion;1999-09-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369177_113978234.png
Damien Möschinger;Verteidiger;FC Sion;2008-01-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429111/media_115781949_115391602.png
Jason da Conceição Almeida;Verteidiger;FC Sion;2005-06-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429111/media_115782107_115391760.png
Kreshnik Hajrizi;Verteidiger;FC Sion;1999-05-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369147_113978204.png
Ryan Kessler;Verteidiger;FC Sion;2005-08-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369245_113978302.png
Lorenzo Villa;Verteidiger;FC Sion;2003-07-26;
Baltazar Costa Rodrigues de Oliveira;Mittelfeldspieler;FC Sion;2000-05-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114368980_113978037.png
Benjamin Kololli;Mittelfeldspieler;FC Sion;1992-05-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369008_113978065.png
Liam Chipperfield;Mittelfeldspieler;FC Sion;2004-02-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369148_113978205.png
Adrien Llukes;Mittelfeldspieler;FC Sion;2008-07-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114368956_113978013.png
Fode Sylla;Mittelfeldspieler;FC Sion;2006-04-16;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369038_113978095.png
Donat Rrudhani;Mittelfeldspieler;FC Sion;1999-05-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369031_113978088.png
Ali Kabacalman;Mittelfeldspieler;FC Sion;1995-09-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114368957_113978014.png
Ilyas Chouaref;Stürmer;FC Sion;2000-12-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369077_113978134.png
Josias Lukembila;Stürmer;FC Sion;1999-09-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369109_113978166.png
Winsley Boteli;Stürmer;FC Sion;2006-07-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369288_113978345.png
Franck Surdez;Stürmer;FC Sion;2002-05-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369061_113978118.png
Théo Berdayes;Stürmer;FC Sion;2002-05-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369265_113978322.png
Rilind Nivokazi;Stürmer;FC Sion;2000-01-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5368775/media_114369230_113978287.png
Lawrence Ati Zigi;Torwart;FC St.Gallen 1879;1996-11-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5809673/media_119032129_118644710.png
Lukas Watkowiak;Torwart;FC St.Gallen 1879;1996-03-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837534_115447192.png
Bela Dumrath;Torwart;FC St.Gallen 1879;2003-11-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837370_115447028.png
Yannick Bujard;Torwart;FC St.Gallen 1879;2003-10-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837612_115447270.png
Cyrill May;Verteidiger;FC St.Gallen 1879;2007-02-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837425_115447083.png
Colin Kleine-Bekel;Verteidiger;FC St.Gallen 1879;2003-01-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837408_115447066.png
Jozo Stanic;Verteidiger;FC St.Gallen 1879;1999-04-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837482_115447140.png
Stephan Ambrosius;Verteidiger;FC St.Gallen 1879;1998-12-18;
Tom Gaal;Verteidiger;FC St.Gallen 1879;2001-03-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837601_115447259.png
Hugo Vandermersch;Verteidiger;FC St.Gallen 1879;1999-05-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837463_115447121.png
Chima Okoroji;Verteidiger;FC St.Gallen 1879;1997-04-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837390_115447048.png
Mostafa Heydari;Verteidiger;FC St.Gallen 1879;2007-01-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5809673/media_119032220_118644801.png
Pascal Büttiker;Verteidiger;FC St.Gallen 1879;2006-03-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837570_115447228.png
Joel Ruiz;Verteidiger;FC St.Gallen 1879;2006-10-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837479_115447137.png
Behar Neziri;Mittelfeldspieler;FC St.Gallen 1879;2003-01-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837337_115446995.png
Christian Witzig;Mittelfeldspieler;FC St.Gallen 1879;2001-01-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837401_115447059.png
Nino Weibel;Mittelfeldspieler;FC St.Gallen 1879;2007-04-11;
Lukas Daschner;Mittelfeldspieler;FC St.Gallen 1879;1998-10-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837512_115447170.png
Carlo Boukhalfa;Mittelfeldspieler;FC St.Gallen 1879;1999-05-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837373_115447030.png
Lukas Görtler;Mittelfeldspieler;FC St.Gallen 1879;1994-06-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837533_115447191.png
Leon Frokaj;Mittelfeldspieler;FC St.Gallen 1879;2005-04-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837511_115447169.png
Betim Fazliji;Mittelfeldspieler;FC St.Gallen 1879;1999-04-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837372_115447031.png
Kevin Csoboth;Mittelfeldspieler;FC St.Gallen 1879;2000-06-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837510_115447168.png
